topic,word,weight
0,still,0.018398093
0,old,0.016909
0,cs,0.014671123
0,years,0.014415268
0,use,0.012233235
0,mod,0.009855293
0,maps,0.009835271
0,mods,0.009831789
0,fun,0.009830881
0,better,0.009422875
1,server,0.014609885
1,first,0.012239725
1,cs,0.0117717385
1,buy,0.011621613
1,playing,0.009552878
1,need,0.008842707
1,others,0.008842284
1,match,0.008827393
1,new,0.008806537
1,kill,0.008806054
2,go,0.016343692
2,ever,0.011968273
2,shooter,0.011907231
2,many,0.011380924
2,cs,0.00967406
2,also,0.009523309
2,team,0.009505315
2,computer,0.009423507
2,maps,0.009326502
2,even,0.0073123793
3,terrorist,0.023738302
3,team,0.019926894
3,rescue,0.012087317
3,round,0.012086544
3,games,0.008208902
3,shooter,0.008200289
3,first,0.008199614
3,fps,0.008196844
3,online,0.00819
3,come,0.008188058
4,fps,0.019945234
4,many,0.016878722
4,players,0.013536891
4,counter,0.013536092
4,strike,0.013529609
4,friends,0.013529128
4,playing,0.010265872
4,love,0.010254773
4,people,0.010254192
4,always,0.010232869
5,games,0.01860844
5,still,0.018582016
5,cs,0.015040519
5,valve,0.014898487
5,played,0.0112977605
5,even,0.011279175
5,players,0.011257115
5,multiplayers,0.011252594
5,playing,0.007749029
5,go,0.00769196
6,cs,0.025445556
6,playing,0.015733235
6,team,0.011851845
6,us,0.011842194
6,love,0.007959206
6,started,0.007956851
6,games,0.006039731
6,well,0.00603132
6,enough,0.006024065
6,class,0.0060203285
7,games,0.016754966
7,cs,0.014923851
7,go,0.014894335
7,played,0.0142235095
7,know,0.011207948
7,playing,0.011171145
7,life,0.009426823
7,days,0.009392886
7,would,0.009390524
7,times,0.0093899015
8,something,0.010530033
8,bomb,0.008482136
8,team,0.00845404
8,player,0.0084515875
8,players,0.008445753
8,much,0.006474226
8,cs,0.0064618452
8,back,0.0064120973
8,white,0.006402336
8,different,0.0063992385
9,defuse,0.017612608
9,cs,0.006415269
9,go,0.0063239783
9,people,0.006298858
9,played,0.006293616
9,much,0.0062826923
9,shooter,0.0062780846
9,left,0.0062766843
9,lot,0.0062710796
9,nice,0.0062680463
